technique,id,name,tactics,data_sources,data_sources_num
T1585,T1585,Establish Accounts (T1585),resource-development,Network Traffic: Network Traffic Content|Persona: Social Media,2
T1585,T1585.001,Social Media Accounts (T1585.001),resource-development,Network Traffic: Network Traffic Content|Persona: Social Media,2
T1585,T1585.002,Email Accounts (T1585.002),resource-development,,0
T1585,T1585.003,Cloud Accounts (T1585.003),resource-development,,0
T1586,T1586,Compromise Accounts (T1586),resource-development,Network Traffic: Network Traffic Content|Persona: Social Media,2
T1586,T1586.001,Social Media Accounts (T1586.001),resource-development,Network Traffic: Network Traffic Content|Persona: Social Media,2
T1586,T1586.002,Email Accounts (T1586.002),resource-development,,0
T1586,T1586.003,Cloud Accounts (T1586.003),resource-development,,0
T1587,T1587,Develop Capabilities (T1587),resource-development,Internet Scan: Response Content|Malware Repository: Malware Content|Malware Repository: Malware Metadata,3
T1587,T1587.001,Malware (T1587.001),resource-development,Malware Repository: Malware Content|Malware Repository: Malware Metadata,2
T1587,T1587.002,Code Signing Certificates (T1587.002),resource-development,Malware Repository: Malware Metadata,1
T1587,T1587.003,Digital Certificates (T1587.003),resource-development,Internet Scan: Response Content,1
T1587,T1587.004,Exploits (T1587.004),resource-development,,0
T1588,T1588,Obtain Capabilities (T1588),resource-development,Certificate: Certificate Registration|Internet Scan: Response Content|Malware Repository: Malware Content|Malware Repository: Malware Metadata,4
T1588,T1588.001,Malware (T1588.001),resource-development,Malware Repository: Malware Content|Malware Repository: Malware Metadata,2
T1588,T1588.002,Tool (T1588.002),resource-development,Malware Repository: Malware Metadata,1
T1588,T1588.003,Code Signing Certificates (T1588.003),resource-development,Malware Repository: Malware Metadata,1
T1588,T1588.004,Digital Certificates (T1588.004),resource-development,Certificate: Certificate Registration|Internet Scan: Response Content,2
T1588,T1588.005,Exploits (T1588.005),resource-development,,0
T1588,T1588.006,Vulnerabilities (T1588.006),resource-development,,0
T1588,T1588.007,Artificial Intelligence (T1588.007),resource-development,,0
T1589,T1589,Gather Victim Identity Information (T1589),reconnaissance,Network Traffic: Network Traffic Content,1
T1589,T1589.001,Credentials (T1589.001),reconnaissance,,0
T1589,T1589.002,Email Addresses (T1589.002),reconnaissance,Network Traffic: Network Traffic Content,1
T1589,T1589.003,Employee Names (T1589.003),reconnaissance,,0
T1590,T1590,Gather Victim Network Information (T1590),reconnaissance,,0
T1590,T1590.001,Domain Properties (T1590.001),reconnaissance,,0
T1590,T1590.002,DNS (T1590.002),reconnaissance,,0
T1590,T1590.003,Network Trust Dependencies (T1590.003),reconnaissance,,0
T1590,T1590.004,Network Topology (T1590.004),reconnaissance,,0
T1590,T1590.005,IP Addresses (T1590.005),reconnaissance,,0
T1590,T1590.006,Network Security Appliances (T1590.006),reconnaissance,,0
T1591,T1591,Gather Victim Org Information (T1591),reconnaissance,,0
T1591,T1591.001,Determine Physical Locations (T1591.001),reconnaissance,,0
T1591,T1591.002,Business Relationships (T1591.002),reconnaissance,,0
T1591,T1591.003,Identify Business Tempo (T1591.003),reconnaissance,,0
T1591,T1591.004,Identify Roles (T1591.004),reconnaissance,,0
T1592,T1592,Gather Victim Host Information (T1592),reconnaissance,Internet Scan: Response Content,1
T1592,T1592.001,Hardware (T1592.001),reconnaissance,Internet Scan: Response Content,1
T1592,T1592.002,Software (T1592.002),reconnaissance,Internet Scan: Response Content,1
T1592,T1592.003,Firmware (T1592.003),reconnaissance,,0
T1592,T1592.004,Client Configurations (T1592.004),reconnaissance,Internet Scan: Response Content,1
